Value Groups Group2
-0.005393194 G1 red
-0.017512875 G1 red
-1.320679448 G1 red
-2.65301894 G1 red
-0.050055706 G1 red
0.293081629 G1 red
0.206696762 G1 red
0.062966264 G1 red
-0.579073721 G1 red
1.020256121 G1 red
-0.600852227 G1 red
-1.35252139 G1 red
-0.624059203 G1 red
0.989169517 G1 red
1.395416675 G1 red
0.911393537 G1 red
0.502475384 G1 red
0.412004171 G1 red
0.841577251 G1 red
-1.515575138 G1 red
-0.390627654 G1 red
1.199038517 G1 red
-0.145671037 G1 red
0.719838032 G1 red
0.588068971 G1 red
-0.947628229 G1 red
1.270749346 G1 red
0.13281412 G1 red
0.895085709 G1 red
2.126185091 G1 red
1.178894836 G1 red
-3.039154863 G1 red
-0.175371863 G1 red
-0.866062187 G1 red
0.770726317 G1 red
-1.400754133 G1 red
1.551039765 G1 red
1.053791461 G1 red
0.93056848 G1 red
-0.106396986 G1 red
0.387439595 G1 red
-0.103075788 G1 red
-0.310324092 G1 red
-1.314318981 G1 red
1.759827848 G1 red
0.735819732 G1 red
0.718859221 G1 red
1.104013081 G1 red
-1.394507558 G1 red
0.289893351 G1 red
0.663879212 G1 red
0.119841305 G1 red
-0.226109203 G1 red
1.022187353 G1 red
0.753611469 G1 red
-2.110220702 G1 red
1.387164618 G1 red
-0.622083742 G1 red
0.877476736 G1 red
0.953542646 G1 red
0.074220548 G1 red
-0.326405769 G1 red
0.207499163 G1 red
0.008545602 G1 red
0.353425125 G1 red
0.888568332 G1 red
0.728075952 G1 red
-0.513777017 G1 red
0.963912955 G1 red
1.6618496 G1 red
2.2322237 G1 red
-1.118468521 G1 red
0.098217907 G1 red
-1.265652094 G1 red
0.738803806 G1 red
-0.3563958 G1 red
-0.272396262 G1 red
0.964673606 G1 red
0.810254393 G1 red
0.461888215 G1 red
0.581126445 G1 red
0.580154387 G1 red
-0.684993613 G1 red
-0.015039481 G1 red
0.653328962 G1 red
0.016307637 G1 red
-0.91170896 G1 red
-1.154552203 G1 red
0.004322925 G1 red
-0.122913631 G1 red
0.323638726 G1 red
1.337700033 G1 red
-0.439246247 G1 red
-0.230857782 G1 red
2.412833158 G1 red
0.23613958 G1 red
-0.493401293 G1 red
-0.025468192 G1 red
0.239636738 G1 red
0.980612231 G1 red
-0.13949128 G1 red
0.856399748 G1 red
-1.595689217 G1 red
-0.814922343 G1 red
1.626977046 G1 red
0.690372533 G1 red
1.225004272 G1 red
0.004867487 G1 red
-2.293421186 G1 red
-2.286710701 G1 red
-1.442201686 G1 red
0.458836192 G1 red
0.272013888 G1 red
